shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
0000000000000000000o,39248,39208,1008430,8429
0000000000000000000k,8469,8429,1010130,21148
0000000000000000000c,39798,39758,1001667,17663
0000000000000000000r,21188,21148,1003161,10129
0000000000000000000a,17703,17663,1013407,24488
00000000000000000006,45951,45911,1006681,25919
00000000000000000005,10169,10129,1001584,1666
00000000000000000003,51186,51146,1004032,3160
0000000000000000000l,24528,24488,1008168,18569
0000000000000000000j,25959,25919,1002131,34842
0000000000000000000w,1706,1666,1015446,31512
0000000000000000000m,3200,3160,1010536,25676
0000000000000000000n,56730,56690,1005815,13406
0000000000000000000g,18609,18569,1006947,6680
0000000000000000000b,42334,42294,1004737,16512
0000000000000000000q,34882,34842,1011235,1583
0000000000000000000u,31552,31512,1005273,4031
00000000000000000008,25716,25676,1015284,33727
0000000000000000000h,13446,13406,1006763,28775
0000000000000000000i,44196,44156,1003287,28547
0000000000000000000p,6720,6680,1008195,8167
0000000000000000000d,16552,16512,1003926,2130
0000000000000000000v,1623,1583,1001583,15445
0000000000000000000f,4071,4031,1003411,10535
00000000000000000004,42748,42708,1012518,21062
0000000000000000000s,35067,35027,1010546,26273
00000000000000000009,45072,45032,1002629,5814
00000000000000000002,33767,33727,1001576,6946
0000000000000000000e,28815,28775,1007102,30599
0000000000000000000t,28587,28547,1007657,4736
00000000000000000001,8207,8167,1013090,11234
00000000000000000007,37240,37200,1004232,18547
0000000000000000000o,2170,2130,1011053,27974
0000000000000000000k,15485,15445,1013818,20190
0000000000000000000c,37619,37579,1005621,5272
0000000000000000000r,10575,10535,1012081,15283
0000000000000000000a,49435,49395,1006167,6762
00000000000000000006,53273,53233,1006792,16543
00000000000000000005,43930,43890,1011761,3286
00000000000000000003,21102,21062,1010650,33624
0000000000000000000l,38006,37966,1013468,8194
0000000000000000000j,37753,37713,1009939,26281
0000000000000000000w,26313,26273,1004925,15904
0000000000000000000m,57917,57877,1003152,27703
0000000000000000000n,5854,5814,1015523,3925
0000000000000000000g,6986,6946,1003139,1582
0000000000000000000b,48515,48475,1005164,3410
0000000000000000000q,30639,30599,1009165,25196
0000000000000000000u,4776,4736,1002650,34279
00000000000000000008,46119,46079,1001301,12517
0000000000000000000h,50825,50785,1014592,29024
0000000000000000000i,11274,11234,1013103,23598
0000000000000000000p,18587,18547,1013685,10545
0000000000000000000d,53965,53925,1011430,2628
0000000000000000000v,49500,49460,1007878,1575
0000000000000000000f,28014,27974,1006178,16972
00000000000000000004,20230,20190,1001079,7101
0000000000000000000s,48743,48703,1014558,18391
00000000000000000009,56969,56929,1012579,18214
00000000000000000002,5312,5272,1006379,7656
0000000000000000000e,40187,40147,1009988,13089
0000000000000000000t,15323,15283,1011575,21201
00000000000000000001,6802,6762,1000825,30489
00000000000000000007,36396,36356,1006424,4231
0000000000000000000o,16583,16543,1015611,23872
0000000000000000000k,3326,3286,1000904,11052
0000000000000000000c,35572,35532,1003763,29912
