stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
000000000000000000dz,00000000000000000033,000000000000000000is,000000000000000000br,716,676,,http://www.crtm.es,2,,,2
000000000000000000os,00000000000000000037,000000000000000000br,000000000000000000b5,463,423,,http://www.crtm.es,0,,,0
00000000000000000099,0000000000000000001b,000000000000000000b5,0000000000000000009c,948,908,,http://www.crtm.es,1,,,1
000000000000000000gv,0000000000000000005x,0000000000000000009c,00000000000000000033,441,401,,http://www.crtm.es,2,,,2
000000000000000000i2,0000000000000000004s,000000000000000000ig,000000000000000000aa,376,336,,http://www.crtm.es,0,,,0
000000000000000000to,0000000000000000006l,00000000000000000033,000000000000000000ez,704,664,,http://www.crtm.es,1,,,1
00000000000000000036,00000000000000000030,000000000000000000aa,00000000000000000037,151,111,,http://www.crtm.es,2,,,2
000000000000000000mk,0000000000000000007r,000000000000000000ez,0000000000000000001b,908,868,,http://www.crtm.es,0,,,0
000000000000000000ud,0000000000000000005b,00000000000000000037,0000000000000000005x,410,370,,http://www.crtm.es,1,,,1
000000000000000000tm,00000000000000000021,0000000000000000001b,000000000000000000dp,579,539,,http://www.crtm.es,2,,,2
000000000000000000o4,0000000000000000000c,0000000000000000005x,0000000000000000008a,937,897,,http://www.crtm.es,0,,,0
000000000000000000wp,00000000000000000014,000000000000000000dp,0000000000000000004s,155,115,,http://www.crtm.es,1,,,1
000000000000000000lh,0000000000000000000v,000000000000000000jq,000000000000000000c4,87,47,,http://www.crtm.es,2,,,2
0000000000000000005r,00000000000000000044,0000000000000000008a,0000000000000000006l,253,213,,http://www.crtm.es,0,,,0
0000000000000000001r,0000000000000000004d,000000000000000000j1,00000000000000000030,533,493,,http://www.crtm.es,1,,,1
000000000000000000qt,0000000000000000001a,000000000000000000i9,000000000000000000a0,750,710,,http://www.crtm.es,2,,,2
000000000000000000pm,00000000000000000057,0000000000000000004s,0000000000000000007r,338,298,,http://www.crtm.es,0,,,0
0000000000000000004y,0000000000000000007z,000000000000000000c4,0000000000000000005b,725,685,,http://www.crtm.es,1,,,1
000000000000000000dr,0000000000000000007w,0000000000000000006l,00000000000000000021,697,657,,http://www.crtm.es,2,,,2
0000000000000000000j,0000000000000000007m,00000000000000000030,000000000000000000gx,978,938,,http://www.crtm.es,0,,,0
000000000000000000v5,0000000000000000001p,000000000000000000a0,0000000000000000000c,212,172,,http://www.crtm.es,1,,,1
000000000000000000e4,0000000000000000006t,0000000000000000007r,0000000000000000008o,476,436,,http://www.crtm.es,2,,,2
000000000000000000y8,00000000000000000040,0000000000000000005b,00000000000000000014,277,237,,http://www.crtm.es,0,,,0
00000000000000000073,0000000000000000006f,00000000000000000021,0000000000000000000v,148,108,,http://www.crtm.es,1,,,1
0000000000000000007q,0000000000000000000g,000000000000000000gx,0000000000000000008z,830,790,,http://www.crtm.es,2,,,2
000000000000000000i9,0000000000000000006a,000000000000000000jf,00000000000000000092,400,360,,http://www.crtm.es,0,,,0
000000000000000000kx,00000000000000000079,0000000000000000000c,000000000000000000b8,319,279,,http://www.crtm.es,1,,,1
0000000000000000006o,0000000000000000000t,0000000000000000008o,000000000000000000bi,231,191,,http://www.crtm.es,2,,,2
000000000000000000vy,0000000000000000004f,00000000000000000014,000000000000000000ab,970,930,,http://www.crtm.es,0,,,0
0000000000000000009q,0000000000000000002q,0000000000000000000v,000000000000000000fp,113,73,,http://www.crtm.es,1,,,1
000000000000000000ho,0000000000000000002d,0000000000000000008z,000000000000000000fo,929,889,,http://www.crtm.es,2,,,2
000000000000000000k1,0000000000000000005c,00000000000000000092,000000000000000000ey,956,916,,http://www.crtm.es,0,,,0
000000000000000000li,0000000000000000003f,000000000000000000b8,000000000000000000cg,649,609,,http://www.crtm.es,1,,,1
000000000000000000xj,0000000000000000004r,000000000000000000bi,000000000000000000f9,739,699,,http://www.crtm.es,2,,,2
000000000000000000wc,0000000000000000002x,000000000000000000iq,00000000000000000044,52,12,,http://www.crtm.es,0,,,0
000000000000000000x9,0000000000000000000j,000000000000000000ab,0000000000000000004d,352,312,,http://www.crtm.es,1,,,1
