trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
00000000000000000033,000000000000000000br,000000000000000000br,00000000000000000033,,000000000000000000dz,0,0,503
00000000000000000037,000000000000000000b5,000000000000000000b5,00000000000000000037,,00000000000000000124,0,0,1372
0000000000000000001b,0000000000000000009c,0000000000000000009c,0000000000000000001b,,000000000000000000os,0,0,892
00000000000000000030,00000000000000000033,00000000000000000033,0000000000000000005x,,00000000000000000099,0,0,333
00000000000000000021,000000000000000000aa,000000000000000000aa,0000000000000000004s,,000000000000000001g4,0,0,1876
0000000000000000000c,000000000000000000ez,000000000000000000ez,0000000000000000006l,,000000000000000000gv,0,0,607
00000000000000000014,00000000000000000037,00000000000000000037,00000000000000000030,,0000000000000000015e,0,0,1490
0000000000000000000v,0000000000000000001b,0000000000000000001b,0000000000000000007r,,000000000000000000i2,0,0,650
0000000000000000001a,0000000000000000005x,0000000000000000005x,0000000000000000005b,,000000000000000000to,0,0,1068
0000000000000000001p,000000000000000000dp,000000000000000000dp,00000000000000000021,,00000000000000000117,0,0,1339
0000000000000000000g,0000000000000000008a,0000000000000000008a,0000000000000000000c,,00000000000000000036,0,0,114
0000000000000000000t,0000000000000000004s,0000000000000000004s,00000000000000000014,,000000000000000000mk,0,0,812
0000000000000000002q,000000000000000000c4,000000000000000000c4,0000000000000000000v,,000000000000000000ud,0,0,1093
0000000000000000002d,0000000000000000006l,0000000000000000006l,00000000000000000044,,000000000000000001ll,0,0,2073
0000000000000000003f,00000000000000000030,00000000000000000030,0000000000000000004d,,000000000000000001pr,0,0,2223
0000000000000000002x,000000000000000000a0,000000000000000000a0,0000000000000000001a,,000000000000000000tm,0,0,1066
0000000000000000000j,0000000000000000007r,0000000000000000007r,00000000000000000057,,000000000000000000o4,0,0,868
0000000000000000002r,0000000000000000005b,0000000000000000005b,0000000000000000007z,,000000000000000000wp,0,0,1177
0000000000000000002j,00000000000000000021,00000000000000000021,0000000000000000007w,,000000000000000001jb,0,0,1991
0000000000000000000b,0000000000000000000c,0000000000000000000c,0000000000000000007m,,0000000000000000018y,0,0,1618
0000000000000000000y,0000000000000000008o,0000000000000000008o,0000000000000000001p,,000000000000000000lh,0,0,773
00000000000000000016,00000000000000000014,00000000000000000014,0000000000000000006t,,000000000000000001o8,0,0,2168
0000000000000000002b,0000000000000000000v,0000000000000000000v,00000000000000000040,,0000000000000000016i,0,0,1530
00000000000000000019,0000000000000000008z,0000000000000000008z,0000000000000000006f,,0000000000000000005r,0,0,207
00000000000000000013,00000000000000000092,00000000000000000092,0000000000000000000g,,000000000000000001pa,0,0,2206
00000000000000000005,000000000000000000b8,000000000000000000b8,0000000000000000006a,,0000000000000000001r,0,0,63
0000000000000000003m,000000000000000000bi,000000000000000000bi,00000000000000000079,,000000000000000001ac,0,0,1668
0000000000000000002p,000000000000000000ab,000000000000000000ab,0000000000000000000t,,000000000000000001qg,0,0,2248
0000000000000000001k,000000000000000000ey,000000000000000000ey,0000000000000000004f,,00000000000000000140,0,0,1440
0000000000000000000i,000000000000000000cg,000000000000000000cg,0000000000000000002q,,000000000000000000qt,0,0,965
0000000000000000001o,00000000000000000044,00000000000000000044,0000000000000000002d,,000000000000000001mc,0,0,2100
00000000000000000002,0000000000000000004d,0000000000000000004d,0000000000000000005c,,000000000000000000pm,0,0,922
0000000000000000001g,0000000000000000001a,0000000000000000001a,0000000000000000003f,,000000000000000001d5,0,0,1769
0000000000000000001x,00000000000000000057,00000000000000000057,0000000000000000004r,,0000000000000000010d,0,0,1309
0000000000000000002m,0000000000000000007z,0000000000000000007z,0000000000000000002x,,0000000000000000004y,0,0,178
0000000000000000000o,000000000000000000b3,000000000000000000b3,0000000000000000000j,,000000000000000000dr,0,0,495
00000000000000000028,0000000000000000007w,0000000000000000007w,0000000000000000002r,,000000000000000001gj,0,0,1891
0000000000000000001q,0000000000000000008x,0000000000000000008x,0000000000000000002j,,0000000000000000015g,0,0,1492
0000000000000000003d,0000000000000000007m,0000000000000000007m,00000000000000000047,,0000000000000000000j,0,0,19
0000000000000000003b,0000000000000000001p,0000000000000000001p,0000000000000000004n,,000000000000000000v5,0,0,1121
