route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
0000000000000000000c,00000000000000000001,0000000000000000000c,0000000000000000000c,0000000000000000000c,1,http://www.crtm.es/tu-transporte-publico/metro/lineas/4__9___.aspx,0000000000000000000c,00000000000000000003
0000000000000000000a,00000000000000000001,0000000000000000000a,0000000000000000000a,0000000000000000000a,1,http://www.crtm.es/tu-transporte-publico/metro/lineas/4__7___.aspx,0000000000000000000a,00000000000000000001
00000000000000000006,00000000000000000001,00000000000000000006,00000000000000000006,00000000000000000006,1,http://www.crtm.es/tu-transporte-publico/metro/lineas/4__3___.aspx,00000000000000000006,00000000000000000002
00000000000000000005,00000000000000000001,00000000000000000005,00000000000000000005,00000000000000000005,1,http://www.crtm.es/tu-transporte-publico/metro/lineas/4__2___.aspx,00000000000000000005,00000000000000000003
00000000000000000003,00000000000000000001,00000000000000000003,00000000000000000003,00000000000000000003,1,http://www.crtm.es/tu-transporte-publico/metro/lineas/4__12___.aspx,00000000000000000003,00000000000000000001
0000000000000000000b,00000000000000000001,0000000000000000000b,0000000000000000000b,0000000000000000000b,1,http://www.crtm.es/tu-transporte-publico/metro/lineas/4__8___.aspx,0000000000000000000b,00000000000000000002
00000000000000000008,00000000000000000001,00000000000000000008,00000000000000000008,00000000000000000008,1,http://www.crtm.es/tu-transporte-publico/metro/lineas/4__5___.aspx,00000000000000000008,00000000000000000003
0000000000000000000d,00000000000000000001,0000000000000000000d,0000000000000000000d,0000000000000000000d,1,http://www.crtm.es/tu-transporte-publico/metro/lineas/4__R___.aspx,0000000000000000000d,00000000000000000001
00000000000000000004,00000000000000000001,00000000000000000004,00000000000000000004,00000000000000000004,1,http://www.crtm.es/tu-transporte-publico/metro/lineas/4__1___.aspx,00000000000000000004,00000000000000000002
00000000000000000009,00000000000000000001,00000000000000000009,00000000000000000009,00000000000000000009,1,http://www.crtm.es/tu-transporte-publico/metro/lineas/4__6___.aspx,00000000000000000009,00000000000000000003
00000000000000000002,00000000000000000001,00000000000000000002,00000000000000000002,00000000000000000002,1,http://www.crtm.es/tu-transporte-publico/metro/lineas/4__11___.aspx,00000000000000000002,00000000000000000001
00000000000000000001,00000000000000000001,00000000000000000001,00000000000000000001,00000000000000000001,1,http://www.crtm.es/tu-transporte-publico/metro/lineas/4__10___.aspx,00000000000000000001,00000000000000000002
00000000000000000007,00000000000000000001,00000000000000000007,00000000000000000007,00000000000000000007,1,http://www.crtm.es/tu-transporte-publico/metro/lineas/4__4___.aspx,00000000000000000007,00000000000000000003
