route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
0000000000000000000c,00000000000000000004,00000000000000000033,0000000000000000000o,0000000000000000000o,0,00000000000000000033,0000000000000000000o,1
0000000000000000000a,00000000000000000005,00000000000000000037,0000000000000000000k,0000000000000000000k,1,00000000000000000037,0000000000000000000k,1
00000000000000000006,00000000000000000003,0000000000000000001b,0000000000000000000c,0000000000000000000c,0,0000000000000000001b,0000000000000000000c,1
00000000000000000005,00000000000000000001,00000000000000000030,0000000000000000000a,0000000000000000000a,1,00000000000000000030,0000000000000000000r,1
00000000000000000003,00000000000000000002,00000000000000000021,00000000000000000006,00000000000000000006,0,00000000000000000021,0000000000000000000a,1
0000000000000000000b,00000000000000000004,0000000000000000000c,00000000000000000005,00000000000000000005,1,0000000000000000000c,00000000000000000006,1
00000000000000000008,00000000000000000005,00000000000000000014,00000000000000000003,00000000000000000003,0,00000000000000000014,00000000000000000005,1
0000000000000000000d,00000000000000000003,0000000000000000000v,0000000000000000000l,0000000000000000000l,1,0000000000000000000v,00000000000000000003,1
00000000000000000004,00000000000000000001,0000000000000000001a,0000000000000000000j,0000000000000000000j,0,0000000000000000001a,0000000000000000000l,1
00000000000000000009,00000000000000000002,0000000000000000001p,0000000000000000000m,0000000000000000000m,1,0000000000000000001p,0000000000000000000j,1
00000000000000000002,00000000000000000004,0000000000000000000g,0000000000000000000n,0000000000000000000n,0,0000000000000000000g,0000000000000000000w,1
00000000000000000001,00000000000000000005,0000000000000000000t,0000000000000000000g,0000000000000000000g,1,0000000000000000000t,0000000000000000000m,1
00000000000000000007,00000000000000000003,0000000000000000002q,0000000000000000000b,0000000000000000000b,0,0000000000000000002q,0000000000000000000n,1
0000000000000000000c,00000000000000000001,0000000000000000002d,00000000000000000008,00000000000000000008,1,0000000000000000002d,0000000000000000000g,1
0000000000000000000a,00000000000000000002,0000000000000000003f,0000000000000000000h,0000000000000000000h,0,0000000000000000003f,0000000000000000000b,1
00000000000000000006,00000000000000000004,0000000000000000002x,0000000000000000000i,0000000000000000000i,1,0000000000000000002x,0000000000000000000q,1
00000000000000000005,00000000000000000005,0000000000000000000j,0000000000000000000p,0000000000000000000d,0,0000000000000000000j,0000000000000000000u,1
00000000000000000003,00000000000000000003,0000000000000000002r,0000000000000000000d,0000000000000000000f,1,0000000000000000002r,00000000000000000008,1
0000000000000000000b,00000000000000000001,0000000000000000002j,0000000000000000000f,00000000000000000004,0,0000000000000000002j,0000000000000000000h,1
00000000000000000008,00000000000000000002,0000000000000000000b,00000000000000000004,00000000000000000009,1,0000000000000000000b,0000000000000000000i,1
0000000000000000000d,00000000000000000004,0000000000000000000y,00000000000000000009,00000000000000000002,0,0000000000000000000y,0000000000000000000p,1
00000000000000000004,00000000000000000005,00000000000000000016,00000000000000000002,0000000000000000000e,1,00000000000000000016,0000000000000000000d,1
00000000000000000009,00000000000000000003,0000000000000000002b,0000000000000000000e,00000000000000000001,0,0000000000000000002b,0000000000000000000v,1
00000000000000000002,00000000000000000001,00000000000000000019,00000000000000000001,00000000000000000007,1,00000000000000000019,0000000000000000000f,1
00000000000000000001,00000000000000000002,00000000000000000013,00000000000000000007,0000000000000000000o,0,00000000000000000013,00000000000000000004,1
00000000000000000007,00000000000000000004,00000000000000000005,0000000000000000000o,0000000000000000000k,1,00000000000000000005,0000000000000000000s,1
0000000000000000000c,00000000000000000005,0000000000000000003m,0000000000000000000k,0000000000000000000c,0,0000000000000000003m,00000000000000000009,1
0000000000000000000a,00000000000000000003,0000000000000000002p,0000000000000000000c,0000000000000000000a,1,0000000000000000002p,00000000000000000002,1
00000000000000000006,00000000000000000001,0000000000000000001k,0000000000000000000a,00000000000000000006,0,0000000000000000001k,0000000000000000000e,1
00000000000000000005,00000000000000000002,0000000000000000000i,00000000000000000006,00000000000000000005,1,0000000000000000000i,0000000000000000000t,1
00000000000000000003,00000000000000000004,0000000000000000001o,00000000000000000005,00000000000000000003,0,0000000000000000001o,00000000000000000001,1
0000000000000000000b,00000000000000000005,00000000000000000002,00000000000000000003,0000000000000000000l,1,00000000000000000002,00000000000000000007,1
00000000000000000008,00000000000000000003,0000000000000000001g,0000000000000000000l,0000000000000000000j,0,0000000000000000001g,0000000000000000000o,1
0000000000000000000d,00000000000000000001,0000000000000000001x,0000000000000000000j,0000000000000000000m,1,0000000000000000001x,0000000000000000000k,1
00000000000000000004,00000000000000000002,0000000000000000002m,0000000000000000000m,0000000000000000000n,0,0000000000000000002m,0000000000000000000c,1
00000000000000000009,00000000000000000004,0000000000000000000o,0000000000000000000n,0000000000000000000g,1,0000000000000000000o,0000000000000000000r,1
00000000000000000002,00000000000000000005,00000000000000000028,0000000000000000000g,0000000000000000000b,0,00000000000000000028,0000000000000000000a,1
00000000000000000001,00000000000000000003,0000000000000000001q,0000000000000000000b,00000000000000000008,1,0000000000000000001q,00000000000000000006,1
00000000000000000007,00000000000000000001,0000000000000000003d,00000000000000000008,0000000000000000000h,0,0000000000000000003d,00000000000000000005,1
